roll,pitch,yaw, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z, EMG0, EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, time
-1.44874,-0.710209,-1.15593,-58.375,99.5,-72,0.399902,0.314453,0.300781,0,0,0,0,0,0,0,0,309
-1.43216,-0.744129,-1.22117,-79.5625,124.938,-101.75,0.878906,0.140137,0.236328,0,0,0,0,0,0,0,0,324
-1.41431,-0.787862,-1.30544,-116.75,153.938,-149.75,2.20264,-0.459473,0.13916,0,0,0,0,0,0,0,0,342
-1.39315,-0.82223,-1.41039,-156.438,189.375,-131.75,2.80664,-1.14697,0.129883,0,0,0,0,0,0,0,0,360
-1.34522,-0.845021,-1.51348,-82,181.313,-104.188,3.04102,-1.56738,0.382813,0,0,0,0,0,0,0,0,377
-1.29601,-0.871397,-1.6138,-75.9375,163.063,-119.25,2.80371,-0.894531,0.171387,0,0,0,0,0,0,0,0,395
-1.28509,-0.897135,-1.69939,-152.688,137.813,-108.063,1.67529,-0.853516,-0.257813,0,0,0,0,0,0,0,0,411
-1.301,-0.916398,-1.77773,-223.313,118,-91.625,2.10791,-0.717773,-0.521484,0,0,0,0,0,0,0,0,429
-1.301,-0.916398,-1.77773,-223.313,118,-91.625,2.10791,-0.717773,-0.521484,0,0,0,0,0,0,0,0,446
-1.33898,-0.938058,-1.8426,-252.5,99.9375,-84.1875,1.59717,-0.884766,-0.242676,0,0,0,0,0,0,0,0,464
-1.33898,-0.938058,-1.8426,-252.5,99.9375,-84.1875,1.59717,-0.884766,-0.242676,0,0,0,0,0,0,0,0,480
-1.42533,-0.96717,-1.91642,-177.125,49.6875,-41.9375,0.964355,-0.854492,-0.185547,-2,-1,-2,4,-4,0,1,1,497
-1.46114,-0.971654,-1.92747,-119.688,28.125,-20.0625,0.518555,-0.687988,-0.819824,-4,-1,1,5,-5,-3,-5,-2,514
-1.46114,-0.971654,-1.92747,-119.688,28.125,-20.0625,0.518555,-0.687988,-0.819824,1,-2,0,-5,15,2,0,-4,531
-1.47938,-0.965469,-1.93576,-69.4375,17.5,-4.125,0.341309,-0.583984,-0.0224609,-1,-2,-1,-2,-1,6,-3,1,549
-1.50491,-0.96301,-1.93014,-46.6875,9.5,3.375,0.389648,-0.347656,-0.304688,1,1,1,2,-8,-4,-2,0,565
-1.61885,-0.932541,-1.88771,-54.25,6.5625,8.6875,-0.312012,-0.329102,-0.66748,-2,0,1,-3,3,-5,-7,0,634
-1.65552,-0.916114,-1.8667,-23,7.6875,11.5,-0.181152,-0.458008,-0.848633,4,-1,-2,-23,1,3,16,-5,650
-1.70727,-0.880867,-1.79945,64.5,-21.75,20.5625,0.0771484,-0.572266,-1.02441,11,1,-4,30,1,-2,31,-9,668
-1.70727,-0.880867,-1.79945,64.5,-21.75,20.5625,0.0771484,-0.572266,-1.02441,-39,3,2,24,5,-3,-47,20,684
-1.6916,-0.871413,-1.77502,106.375,-38.125,18.4375,0.61377,-0.720703,-0.791016,18,-3,0,-19,-6,0,29,-18,702
-1.67336,-0.872139,-1.74501,124.25,-46.75,-8.25,1.48828,-1.25146,-0.728516,0,-2,-4,-4,-13,4,3,-10,718
-1.66146,-0.857678,-1.69732,143.125,-87.125,34.3125,1.66211,-1.3335,-0.524902,4,-4,-7,-14,30,-15,26,-3,735
-1.64827,-0.825069,-1.6196,203.938,-155.313,81.8125,1.7627,-1.52734,-0.145996,-8,-4,-11,-2,27,-18,-19,2,752
-1.64827,-0.825069,-1.6196,203.938,-155.313,81.8125,1.7627,-1.52734,-0.145996,10,1,2,19,-54,-8,-10,-4,768
-1.64827,-0.825069,-1.6196,203.938,-155.313,81.8125,1.7627,-1.52734,-0.145996,10,1,2,19,-54,-8,-10,-4,784
-1.63722,-0.777852,-1.45704,142.188,-162.125,51.3125,2.26074,-1.13623,0.224609,-1,-1,1,-8,64,0,0,2,801
-1.64329,-0.755387,-1.39205,105.438,-144.875,68.75,2.04639,-0.978027,0.35791,-1,-4,3,3,10,-1,4,-1,818
-1.6411,-0.731309,-1.33337,114.25,-134.688,72.75,1.84863,-0.92041,0.38916,-4,-4,0,1,21,1,0,-1,835
-1.63409,-0.70971,-1.28257,110.563,-120,69.625,1.54883,-0.452637,0.414063,-5,-4,0,-8,18,-4,-7,2,852
-1.63409,-0.70971,-1.28257,110.563,-120,69.625,1.54883,-0.452637,0.414063,-3,-4,-3,-4,6,0,-1,9,869
-1.61838,-0.706592,-1.24877,84.625,-96.625,59.0625,1.22705,-0.233887,0.407227,-5,-2,-5,0,14,-4,-6,-3,885
-1.55398,-0.705927,-1.2348,-3.8125,-11.375,46.1875,0.489258,0.574219,0.763184,-8,-2,-4,-6,-5,-5,-7,2,943
-1.54265,-0.709192,-1.25956,-53.375,20.125,30.0625,0.235352,0.625,0.759766,-1,-3,-5,-9,-8,-2,-3,2,961
-1.53454,-0.716338,-1.29899,-89.5625,52.625,9.75,0.0610352,0.647949,0.737793,-1,0,1,-1,-5,3,6,-7,979
-1.53748,-0.723456,-1.34314,-100.438,87.25,-17,-0.0522461,0.648926,0.63916,-9,2,5,-11,-6,0,5,0,996
-1.52332,-0.741662,-1.40302,-79.25,120.188,-50.875,-0.0478516,0.555176,0.430664,7,-8,-8,-11,-5,-7,7,-9,1014
-1.49873,-0.770974,-1.4739,-70.625,141.563,-86.75,0.0795898,0.435059,0.101563,8,4,4,-7,-2,0,-2,-1,1031
-1.49873,-0.770974,-1.4739,-70.625,141.563,-86.75,0.0795898,0.435059,0.101563,8,4,4,-7,-2,0,-2,-1,1047
-1.46382,-0.813581,-1.55845,-71.5,160.938,-125.75,0.472168,0.424805,-0.129395,-8,0,-7,0,-1,-4,20,-14,1063
-1.41012,-0.856178,-1.66253,-64.125,186.563,-137.438,0.633301,0.250488,-0.274902,-22,-11,-13,-13,14,-3,-14,-3,1080
-1.34758,-0.901413,-1.78201,-81.125,197.125,-156.375,1.09326,0.113281,-0.328125,5,19,17,17,12,6,-35,16,1097
-1.2494,-0.953597,-1.92688,-51.5,199.875,-210.813,2.25732,-0.219727,-0.345703,-5,-5,5,13,-15,-8,36,-20,1114
-1.12169,-1.00526,-2.08675,-13.6875,180.875,-232.375,2.61963,-0.642578,-0.195313,-20,0,-28,8,-19,-4,-18,1,1132
-1.12169,-1.00526,-2.08675,-13.6875,180.875,-232.375,2.61963,-0.642578,-0.195313,8,-4,8,3,-6,5,6,1,1149
-0.988581,-1.04962,-2.23337,21.125,126.25,-217.438,2.66797,-0.756836,-0.015625,4,-3,2,30,7,-6,-2,5,1165
-0.84778,-1.09134,-2.36741,65.8125,73.625,-207.188,2.49902,-0.639648,0.182617,11,-2,7,4,1,0,7,7,1182
