roll,pitch,yaw, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z, EMG0, EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
0.538062,-0.821014,2.04773,68.0625,-39,59.25,-0.557129,-0.102051,0.299805,0,0,0,0,0,0,0,0,400
0.528307,-0.821194,2.07265,38.625,-14.8125,46.875,-0.678711,-0.216797,0.236328,0,0,0,0,0,0,0,0,417
0.503003,-0.805491,2.09822,5.75,7.6875,23,-0.882813,-0.375977,0.407715,0,0,0,0,0,0,0,0,435
0.491601,-0.791048,2.10467,-10.0625,12.125,-2.8125,-0.758789,-0.239258,-0.03125,0,0,0,0,0,0,0,0,452
0.475831,-0.767714,2.1085,-20.5625,32.5,-26.875,-0.177246,-0.145508,0.467773,0,0,0,0,0,0,0,0,469
0.4597,-0.71605,2.10286,-40.875,62.9375,-62.5,-0.916016,-0.129395,0.47998,0,0,0,0,0,0,0,0,486
0.4597,-0.71605,2.10286,-40.875,62.9375,-62.5,-0.916016,-0.129395,0.47998,0,0,0,0,0,0,0,0,503
0.45752,-0.663489,2.07963,-48.5625,82.25,-97.625,-0.0795898,0.296387,0.615234,0,0,0,0,0,0,0,0,519
0.456019,-0.602663,2.05451,-46,108.125,-118.438,-0.568359,0.668457,1.5459,0,0,0,0,0,0,0,0,536
0.456019,-0.602663,2.05451,-46,108.125,-118.438,-0.568359,0.668457,1.5459,0,0,0,0,0,0,0,0,553
0.453149,-0.553302,2.0305,-45.875,101.938,-114.25,0.767578,1.84082,2.28223,0,0,0,0,0,0,0,0,570
0.453149,-0.553302,2.0305,-45.875,101.938,-114.25,0.767578,1.84082,2.28223,-3,-4,-17,1,-9,-5,-22,-8,587
0.428456,-0.508284,2.00999,-100.563,94.875,-100.625,1.00488,1.61182,2.521,-6,-17,2,-128,-21,-7,7,-4,605
0.388762,-0.448301,1.9839,-148,131.375,-129.375,2.5752,1.46875,2.51563,-4,-9,-31,-8,0,-5,29,-5,623
0.373584,-0.376139,1.93536,-105.063,145,-193.188,0.820313,1.10498,1.86768,7,3,8,1,-8,-4,36,-1,641
